collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
8.77,Elephant,cube,4.295,2.090,3.735
8.77,Elephant,cube,4.295,2.090,3.735
8.78,Elephant,cube,4.295,2.090,3.735
8.78,Elephant,cube,4.295,2.090,3.735
8.78,Elephant,cube,4.295,2.090,3.735
8.79,Elephant,cube,4.295,2.090,3.735
8.79,Elephant,cube,4.295,2.090,3.735
8.79,Elephant,cube,4.295,2.090,3.735
8.80,Elephant,cube,4.295,2.090,3.735
8.80,Elephant,cube,4.295,2.090,3.735
8.80,Elephant,cube,4.295,2.090,3.735
8.80,Elephant,cube,4.295,2.090,3.735
8.81,Elephant,cube,4.295,2.090,3.735
8.81,Elephant,cube,4.295,2.090,3.735
8.81,Elephant,cube,4.295,2.090,3.735
8.82,Elephant,cube,4.295,2.090,3.735
8.82,Elephant,cube,4.295,2.090,3.735
8.82,Elephant,cube,4.295,2.090,3.735
8.83,Elephant,cube,4.295,2.090,3.735
8.83,Elephant,cube,4.295,2.090,3.735
8.83,Elephant,cube,4.295,2.090,3.735
8.84,Elephant,cube,4.295,2.090,3.735
8.86,Elephant,cube,4.295,2.090,3.735
8.86,Elephant,cube,4.295,2.090,3.735
8.87,Elephant,cube,4.295,2.090,3.735
8.87,Elephant,cube,4.295,2.090,3.735
8.88,Elephant,cube,4.295,2.090,3.735
8.88,Elephant,cube,4.295,2.090,3.735
8.88,Elephant,cube,4.295,2.090,3.735
8.89,Elephant,cube,4.295,2.090,3.735
8.89,Elephant,cube,4.295,2.090,3.735
8.89,Elephant,cube,4.295,2.090,3.735
8.90,Elephant,cube,4.295,2.090,3.735
8.90,Elephant,cube,4.295,2.090,3.735
8.90,Elephant,cube,4.295,2.090,3.735
8.91,Elephant,cube,4.295,2.090,3.735
8.91,Elephant,cube,4.295,2.090,3.735
8.91,Elephant,cube,4.295,2.090,3.735
8.92,Elephant,cube,4.295,2.090,3.735
8.92,Elephant,cube,4.295,2.090,3.735
8.92,Elephant,cube,4.295,2.090,3.735
8.92,Elephant,cube,4.295,2.090,3.735
8.93,Elephant,cube,4.295,2.090,3.735
8.93,Elephant,cube,4.295,2.090,3.735
